Brand,Model,Uniques,Mean
Aixam,500,1,1500
Aixam,City,2,4375
Aixam,Crossover,1,4700
Aixam,Kitas,1,1850
Alfa,Romeo 147,3,1549
Alfa,Romeo 156,5,740
Alfa,Romeo 159,10,2486
Alfa,Romeo Crosswagon Q4,1,2800
Alfa,Romeo GT,3,1556
Alfa,Romeo GTV,2,1825
Asia,Rocsta,1,3800
Audi,100,9,662
Audi,100 C3,6,1350
Audi,100 C4,3,2060
Audi,200,1,1500
Audi,80,19,736
Audi,80 B2,4,1485
Audi,80 B3,7,715
Audi,80 B4,9,1015
Audi,A1,1,6500
Audi,A2,6,1455
Audi,A3,51,2222
Audi,"A3 2,0 TDI",1,3250
Audi,A3 8L,10,1051
Audi,A3 8P,20,3494
Audi,A4,76,2589
Audi,A4 2.0 TDI 136 HK AVANT,1,4650
Audi,A4 Allroad,1,9000
Audi,A4 B5,21,909
Audi,A4 B6,23,1514
Audi,A4 B7,25,3026
Audi,A4 B8,15,6091
Audi,A5,6,6732
Audi,A6,91,2926
Audi,A6 Allroad,8,4194
Audi,A6 C4,11,1817
Audi,A6 C5,28,1444
Audi,A6 C6,37,3878
Audi,A6 C7,3,8750
Audi,A6 QUATTRO,1,2750
Audi,A8,15,3752
Audi,A8 D2,3,2300
Audi,A8 D3,5,5733
Audi,Cabriolet,1,3210
Audi,Coupe,1,2500
Audi,Q5,1,10000
Audi,Q7,5,7583
Audi,S4 B5,1,9999
Audi,S4 B8,1,16000
Audi,S6,1,5700
Audi,TT,3,3323
Audi,TT 8N,1,1800
Austin,Mini,1,6200
BMW,116,8,3422
BMW,116 E87,9,3025
BMW,118,12,3638
BMW,118 E87,5,3310
BMW,120,5,5298
BMW,120 E87,5,2808
BMW,316,7,2099
BMW,316 E30,3,3999
BMW,316 E36,3,1549
BMW,316 E46,6,1066
BMW,318,16,2650
BMW,318 E30,1,6000
BMW,318 E36,5,1336
BMW,318 E46,6,1879
BMW,318 E90,3,4666
BMW,320,46,3212
BMW,320 E30,1,1850
BMW,320 E36,4,2839
BMW,320 E46,24,1728
BMW,320 E90,20,4040
BMW,320 F30,3,11693
BMW,323,1,800
BMW,323 E36,2,2499
BMW,323 E46,1,2700
BMW,324 E30,1,1800
BMW,325,10,3644
BMW,325 E36,1,2600
BMW,325 E46,2,2325
BMW,325 E90,6,5564
BMW,328,2,3625
BMW,328 E46,2,3750
BMW,328 E90,3,5699
BMW,330,11,4013
BMW,330 E46,10,2654
BMW,330 E90,7,4835
BMW,335,1,5000
BMW,335 E90,1,4999
BMW,428 Gran Coupe,1,19900
BMW,520,21,3309
BMW,520 E34,1,1750
BMW,520 E39,1,1730
BMW,520 E60,2,4375
BMW,520 F10,1,10990
BMW,523,4,3437
BMW,523 E39,1,1300
BMW,523 E60,1,2650
BMW,524 E34,1,800
BMW,525,42,2743
BMW,525 E28,1,1550
BMW,525 E34,5,2529
BMW,525 E39,13,1847
BMW,525 E60,11,3634
BMW,528,4,2275
BMW,528 E39,1,1800
BMW,528 E60,1,5000
BMW,530,34,3439
BMW,530 530 D AUT.,1,4750
BMW,530 E39,16,1516
BMW,530 E60,20,3833
BMW,530 F10,1,8800
BMW,535,4,3187
BMW,535 E60,3,5300
BMW,535 F10,1,16500
BMW,545,1,3499
BMW,635,1,5899
BMW,645,1,9000
BMW,650 E63/E64,1,10500
BMW,725,1,1300
BMW,728,1,2299
BMW,728 E38,1,2500
BMW,730,10,6594
BMW,730 E65/66,3,4800
BMW,732,1,3750
BMW,735,1,2550
BMW,740,3,3083
BMW,740 E32,1,5399
BMW,740 E38,1,4400
BMW,745,3,3933
BMW,745 E65/66,1,4500
BMW,X3,13,4509
BMW,"X3 2,5 I AUT.",1,3450
BMW,X3 E83,7,4492
BMW,X5,19,4272
BMW,X5 E53,9,4269
BMW,X6,2,15150
Cadillac,BLS,1,2899
Cadillac,CTS,1,27590
Cadillac,Deville,1,2440
Cadillac,SRX,4,4049
Chevrolet,Aveo,6,3649
Chevrolet,Blazer,1,1999
Chevrolet,Camaro,2,3500
Chevrolet,Captiva,10,4291
Chevrolet,Cruze,5,5513
Chevrolet,Epica,4,1992
Chevrolet,Equinox,1,2499
Chevrolet,HHR,1,2699
Chevrolet,Impala,1,3000
Chevrolet,Kalos,1,1200
Chevrolet,Lacetti,1,1299
Chevrolet,Nubira,2,1475
Chevrolet,Orlando,2,5450
Chevrolet,Rezzo,1,1900
Chevrolet,Spark,1,2199
Chevrolet,Trailblazer,1,3000
Chevrolet,Trans Sport,1,2150
Chevrolet,Trax,2,8125
Chrysler,200,1,6800
Chrysler,300C,8,3810
Chrysler,300M,1,890
Chrysler,Crossfire,1,4499
Chrysler,Grand Voyager,7,2199
Chrysler,Grand Voyager II,1,1550
Chrysler,Grand Voyager III,4,1820
Chrysler,Grand Voyager IV,1,4800
Chrysler,PT Cruiser,12,1096
Chrysler,Pacifica,1,899
Chrysler,Sebring,6,2473
Chrysler,Stratus,2,600
Chrysler,Town & Country,2,745
Chrysler,Voyager,14,1500
Chrysler,Voyager III,4,1829
Citroen,Berlingo,10,1956
Citroen,Berlingo I,2,1625
Citroen,Berlingo II,1,2100
Citroen,C-Crosser,3,5540
Citroen,C1,2,1825
Citroen,C1 I,1,2295
Citroen,C2,2,899
Citroen,C25,1,2450
Citroen,C3,12,1672
Citroen,C3 I,5,1516
Citroen,C3 Pluriel,3,1296
Citroen,C4,21,2093
Citroen,C4 Aircross,1,6900
Citroen,C4 Grand Picasso,3,2833
Citroen,C4 Grand Picasso I,1,2530
Citroen,C4 I,2,1497
Citroen,C4 II,1,4500
Citroen,C4 Picasso,4,4137
Citroen,C5,26,2611
Citroen,C5 I,4,812
Citroen,C5 II,7,1747
Citroen,C6,4,2787
Citroen,C8,8,2053
Citroen,DS3,1,5650
Citroen,DS4,1,5990
Citroen,Evasion,1,1100
Citroen,Jumper,7,3987
Citroen,"Jumper 2,2 HDI",1,1450
Citroen,Jumper I,3,2316
Citroen,Jumper II,1,2100
Citroen,Jumpy,4,4184
Citroen,Nemo,2,3699
Citroen,Relay,2,3400
Citroen,Xantia,1,750
Citroen,Xantia I,1,430
Citroen,Xsara,4,627
Citroen,Xsara Picasso,13,944
Citroen,ZX,1,1200
Dacia,Duster,4,4651
Dacia,Lodgy,1,3399
Dacia,Logan,4,1749
Dacia,Logan 1.5 dCi 90,1,4750
Dacia,Logan I (2004-2012),1,1300
Dacia,Sandero,5,3339
Daewoo,Evanda,1,700
Daewoo,Lanos,1,550
Daewoo,Matiz,1,1150
Daihatsu,Cuore,2,1025
Daihatsu,Rocky,1,2650
Daihatsu,Sirion,1,500
Daihatsu,Terios,1,1500
Dodge,Caliber,6,2274
Dodge,Dart,1,6000
Dodge,Journey,2,5825
Dodge,Nitro,2,4149
Fiat,500,5,4247
Fiat,Bravo,3,2733
Fiat,Cinquecento,1,799
Fiat,Croma,1,3200
Fiat,Croma II,1,1850
Fiat,Doblo,6,2241
Fiat,"Doblo 1,3 MJT",1,1550
Fiat,Ducato,12,2726
Fiat,Ducato II,6,2230
Fiat,Ducato III,2,6449
Fiat,Grande Punto,1,500
Fiat,Idea,2,1170
Fiat,Marea,2,575
